model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,ach-eng,lgg-eng,lug-eng,nyn-eng,swa-eng,teo-eng,amh_en,bam_fr,bbj_fr,ewe_fr,fon_fr,hau_en,ibo_en,kin_en,lug_en,luo_en,mos_fr,nya_en,pcm_en,sna_en,swa_en,tsn_en,twi_en,wol_fr,xho_en,yor_en,zul_en,avg,,,ibo-eng
LLaMAX3-8B-Alpaca,prompt_2,66.91,52.14,73.79,27.62,47.91,48.58,54.61,23.01,29.28,24.48,22.79,22.78,23.79,21.56,24.38,28.25,50.63,44.74,21.14,25.86,23.69,48.19,26.3,41.31,24.3,16.63,24.48,28.66,34.43,26.8,33.07,23.62,22.41,35.2,19.63,44.46,45.53,34.32,24.99,44.95,46.83,35.83,36.15,60.89,24.28,16.02,28.51,33.36,28.3,34.27,29.05,17.21,23.92,30.68,50.46,34.55,51.6,72.65,40.89,31.47,26.52,52.66,47.5,42.59,43.57,42.19,35.82,46.94,26.57,47.75,52.58,37.96,59.94,28.66,36.04,27.49,30.3,49.14,35.9,49.14,17.12,20.26,35.87,23.92,62.47,17.43,31.23,19.88,15.39,23.34,20.37,34.2,32.72,39.69,35.65,24.61,19.69,39.27,58,41.34,51.1,31.76,28.05,22.65,46.32,32.77,43.62,35.0,,,40.83
LLaMAX3-8B-Alpaca,prompt_3,66.97,52.28,73.89,27.91,47.83,48.67,54.57,23.76,29.25,25.01,23.15,23.14,24.04,22.21,24.93,27.73,50.76,44.68,21.26,25.56,23.66,48.46,25.9,41.72,24.75,16.6,24.71,27.92,34.5,27.15,33.25,24.12,22.27,35.28,20.72,44.58,44.98,34.19,24.64,44.99,46.95,36.1,36.19,60.86,24.2,16.88,28.05,32.82,28.03,34.29,28.97,17.54,23.97,31.28,50.48,34.53,51.82,72.47,40.52,31.25,26.62,52.42,47.28,42.59,43.23,41.95,35.92,46.58,26.1,47.25,52.32,37.5,59.58,28.32,35.77,27.92,30.45,49.13,35.8,48.99,16.96,20.39,36.55,23.95,62.27,17.11,22.66,15.99,12.87,20.35,13.41,23.4,19.63,24.54,24.27,22.08,16.39,23.65,41.86,26.76,30.61,22.62,25.85,16.92,23.33,22.69,26.26,32.9,,,40.28
Llama-3.1-8B-Instruct,prompt_1,67.75,50.25,70.8,26.86,21.49,47.77,54.81,18.11,23.63,20.13,16.1,17.45,18.83,15.14,17.9,17.18,38.04,35.02,17.25,20.99,18.01,48.56,22.21,29.39,18.16,10.9,16.36,20.45,22.78,21.69,25,17.99,16.95,25.37,16.13,27.47,24.04,25.1,18.4,24.88,23.57,25.83,23.94,56.88,18.93,13.02,13.66,24.56,22.98,23.95,27.52,16.81,18.11,20.3,27.19,26.79,29.32,68.81,19.26,25.71,21.78,40.14,39.12,31.65,27.41,28.78,27.5,28.85,18.75,24.65,26.68,26.44,57.27,14.48,28.32,23.65,20.51,28.02,21.78,32,17.6,17.54,25.6,21.14,52.41,15.9,21.72,20.29,16.99,25.4,19.66,27.3,30.32,30.48,29.96,24.92,18.01,30.14,58.69,29.77,46.34,28.76,29.53,21.39,31.21,27.27,31.53,26.8,,,31.73
Llama-3.1-8B-Instruct,prompt_2,68.2,53.95,74.13,26.72,30.95,50.96,56.19,17.17,24.79,18.89,17.14,16.72,17.52,14.21,19.21,20.17,44.32,38.05,17.81,23.57,18.05,54.51,24.65,35.33,18.18,11.18,16.86,23.31,25.78,20.05,28.34,17.62,14.69,28.57,13.44,30.54,34.68,29.02,17.78,29.74,31.68,28.61,25.38,53.61,18.69,10.51,15.05,28.83,25.92,26.37,30.08,11.3,18.6,20.92,32.83,30.07,33.47,72.63,26.77,27.83,20.4,45.66,41.44,36.48,34.26,32.34,30.42,32.96,20.44,28.87,34.58,27.89,53.96,16.35,32.33,24.67,20.55,33.96,24.6,35.76,15.73,17.77,28.6,22.28,60.39,15.05,18.59,16.52,15.75,20.51,16.52,22.59,22.01,25.74,23.65,25.09,16.8,26.23,47.25,24.52,36.16,22.43,24.08,18.71,25.26,24.2,26.1,27.6,,,33.06
Llama-3.1-8B-Instruct,prompt_3,68.13,53.9,74.26,26.81,31.63,51.14,56.27,18.01,24.4,19.03,19.37,17.3,18.42,14.39,19.15,20.37,44.84,38.03,18.05,22.92,18.53,54.37,23.58,35.14,18.55,12.08,17.19,22.57,25.97,20.52,27.8,18.86,16.35,29.03,14.41,30.58,34.16,29.39,18.82,29.17,31.7,28.62,26.25,57.75,19.53,11.54,16.21,29.51,25.74,25.8,29.39,11.51,19.26,21.79,32.84,29.93,32.53,72.73,26.59,26.36,20.48,46.53,41.36,36.31,33.71,32.09,30.27,32.54,20.11,28.8,34.73,27.91,57.63,17.33,31.56,24.31,20.92,33.17,24.53,35.42,17.65,20.57,28.69,22.83,60.68,19.15,19.1,20.27,16.31,25.6,18.99,26.6,25.33,29.56,27.29,24.63,20.4,29.03,50.24,27.5,39.01,27.79,28.57,21.23,28.73,25.72,29.83,28.5,,,32.88
AfroLlama-V1,prompt_1,14,6.05,21.09,8.37,5.25,7.38,7.96,8.89,10.49,8.8,13.01,8.59,8.21,7.03,12.87,8.6,8.79,6.1,7.12,8.61,8.17,12.4,9.55,12.79,9.16,7.57,13.58,10.61,9.93,11.94,11.57,9.18,9.18,15.01,7.98,11.17,14.89,10.8,7.97,10.81,7.26,15.41,11.79,13.16,9.63,6.49,4.56,11.3,10.31,9.38,9.49,6.92,9.59,7.43,12.16,7.8,18.31,16.9,5.56,10.16,7.65,7.55,5.65,12.12,9.51,12.11,12.52,9.62,6.38,8.32,6.96,9.6,10.07,4.81,10.53,9.26,6.77,9.21,7.14,11.74,2.15,2.35,2.2,1.99,4.9,2.31,8.37,9.41,6.86,9.42,10.42,8.92,7.25,14.53,10.26,12.66,9.74,14.69,13.42,12.42,10.32,11.33,13.05,10.26,10.79,10.54,10.97,9.5,,,2.47
AfroLlama-V1,prompt_2,11.16,5.59,8.34,7.22,6,6.04,5.98,5.93,7.28,6.63,6.82,6.22,5.71,5.89,6.53,5.53,8.71,5.74,4.84,6.23,6.11,7.25,6.52,5.64,6.03,6.12,8.79,6.53,7.75,6.95,5.46,5.93,6,6.71,7.18,7.46,7.94,6.19,6.07,6.35,5.27,6.43,7.69,10.13,5.83,6.61,5.32,7.21,6.39,6.56,7.22,8.95,5.83,5.31,9.47,7.03,10.34,7.6,5.48,7.83,5.64,8.39,5.91,6.48,6.7,8.42,6.56,6.26,4.61,7.04,5.54,7.86,9.61,4.94,6.31,6.61,5.05,8.87,6.66,9.37,1.84,2,1.93,1.91,4.69,1.6,6.79,7.99,5.85,8.65,9.81,10.43,6.63,14.45,9.3,11.79,8.59,15.48,16.19,11.89,11.99,9.79,12.52,9.01,13.25,11.96,13.41,7.3,,,1.87
AfroLlama-V1,prompt_3,11.87,6.21,8.92,9.26,5.32,7.72,7.9,8.09,8.41,6.88,11.24,6.61,8.82,8.23,9.46,7.25,8.83,6.91,6.56,7.42,7.06,8.09,7.44,6.22,7.65,7.14,11.86,7.9,7.21,9.44,6.87,7.81,7.8,11,8.55,9.09,10.56,7.26,6.7,6.84,5.66,10.72,8.3,10.13,7.71,7.51,9.55,10.8,6.54,7.84,10.6,8.7,6.64,6.26,9.77,7.12,10.61,8.18,5.36,8.52,8.33,8.55,7.07,6.87,8.51,10.7,10.79,6.76,5.49,10.25,5.95,8.31,9.55,7.97,7.99,8.05,5.77,9.33,6.8,9.61,2.39,2.22,2.03,2.06,4.74,1.68,8.89,9.66,7.07,10.59,10.98,9.42,8.16,14.68,10.8,12.98,9.78,14.91,13.31,12.62,10.86,11.4,13.77,10.35,11.02,10.39,11.13,8.4,,,2.63
gemma-2-9b-it,prompt_1,64.48,51.95,70.13,29.04,42.63,49.13,53.92,20.05,29.23,22.11,19.53,19.62,20,18.32,20.69,23.72,45.34,36.09,21.31,23.62,21.88,51.24,25.72,38.24,22.42,14.16,20.51,25.96,27.07,24.18,29.66,20.61,18.57,34.86,17.62,34.62,38.52,30.91,20.8,37.05,38.68,37.17,32.36,59.15,21.25,16.55,26.93,33.95,28.51,29.03,30.88,18.02,21.35,22.86,42.77,30.22,42.39,65.08,35.57,28.07,20.19,44.36,36.19,36.5,34.07,32.71,33.54,33.07,20.79,36.24,40.16,31.86,53.66,25.62,34.31,25.72,20.88,40.43,28.31,38.3,10.96,17.22,31.19,23.05,63.02,13.71,13.21,13.67,9.9,14.53,15.22,17.14,13.42,20.75,14.8,16,13.3,20.85,27.59,16.37,20.99,16.3,19.47,15.32,16.64,17.69,16.95,28.4,,,32.37
gemma-2-9b-it,prompt_2,64.61,52,70.42,29.49,42.34,49.37,53.84,21.08,29.73,22.56,20.63,20.56,20.8,19.26,21.74,24.41,45.58,37.36,22.07,23.97,22.62,51.34,26.26,38.52,22.85,14.56,21.89,26.68,27.27,25.25,30.1,22.31,19.54,35.67,18.63,34.8,38.5,31.26,22.39,37.43,39.68,38.33,32.36,59.29,22.14,16.58,27.3,34.1,29.08,29.37,31.42,19.02,21.6,23.9,43.43,30.57,43.6,65.9,35.32,28.71,21.11,44.81,37.72,36.87,34.6,33.28,34.23,33.82,21.15,36.68,40.94,31.93,54.42,25.77,34.87,26.96,21.6,41.26,29.24,40.07,12.05,18.45,31.09,23.24,63.31,14.64,14.66,14.5,10.77,15.73,16.41,17.47,13.87,22.03,15.44,16.39,14.65,21.7,28.67,17.31,22.4,16.61,20.18,15.4,16.95,18.16,17.87,29.0,,,34.66
gemma-2-9b-it,prompt_3,64.75,52.1,70.51,29.32,42.44,49.17,53.9,20.61,29.64,22.28,20.41,20.11,20.17,18.67,21.6,24.22,45.57,37.39,22.08,23.93,21.84,50.9,26.32,38.53,22.55,15,21.85,26.44,27.38,24.87,30.2,22.2,19.12,35.75,18.59,34.81,38.24,30.88,21.97,37.48,39.53,38.15,32.04,59.31,21.72,17.09,27.07,33.95,28.99,29.2,31.37,19,21.4,23.57,43.39,30.44,43.04,65.85,35.5,28.64,20.76,44.59,37.56,36.79,34.5,33.23,34.15,33.77,21.16,36.69,40.94,31.43,54.51,25.77,34.82,26.57,21.47,41.05,29.12,39.81,12.25,18.49,31.1,23.11,63.3,14.61,12.31,13.87,10.47,14.92,16.15,16.76,12.76,20.35,14.49,16.37,14.17,20.02,26.36,16.14,19.98,16.09,19.64,14.76,16.14,17.33,16.7,28.7,,,34.54
aya-101,prompt_1,63.9,52.66,70.51,35.92,53.26,50.29,54.31,27.56,36.96,25.71,22.93,22.76,29.87,21.94,24.53,35.56,52.78,48.99,21.22,27.68,20.58,56.48,29.93,49.83,27.02,15.06,25.14,33.02,36.26,33.23,36.64,26.99,22.47,52.84,19.03,44.91,51.91,42.3,30.27,47.3,48.72,54.63,45.47,59.92,23.35,17.25,44.38,46.81,39.06,42.24,38.93,22.04,25.08,25.37,54.2,39.63,55.42,56.03,42.81,49.36,32.13,54.92,51.44,35.38,43.94,32.97,42.11,53.76,18.19,48.15,54.24,44.15,57.27,36.59,52.28,37.91,18.25,44.94,43.92,49.87,16.59,19.11,39.11,25.25,60.81,14.37,21.14,16.38,11.59,18.54,18.35,28.7,26.75,32.33,28.69,22.66,14.5,29.3,48.95,25.66,39.83,26.65,29.6,17.01,27.44,27.14,27,36.0,,,43.82
aya-101,prompt_2,64.99,53.59,71.79,36.9,54.24,51.23,55.21,27.63,37.39,25.54,22.95,22.91,31.52,21.81,24.32,36.82,53.24,49.62,21.54,28.08,22.59,57.65,30.11,50.73,27.05,13.98,25.53,33.22,36.41,33.67,36.72,27.26,22.72,53.81,18.99,48.38,52.84,44.35,30.05,47.72,49.04,55.42,45.88,60.51,25.78,15.85,45.02,47.63,39.52,42.38,39.19,22.14,24.8,24.98,54.54,39.82,55.71,70.73,50.11,51.81,34.24,55.57,52.61,51.06,49.02,46.56,50.76,53.7,29.21,51.5,57.04,49.36,59.53,44.6,52.3,46.71,25.52,53.54,49.12,53.3,15.8,18.93,40.61,24.68,61.8,16.18,21.95,17.26,13.3,23.69,18.41,29.64,30.92,33.19,30.43,20.61,17.62,28.98,51.94,24.41,48.1,27.65,29.81,19.05,26.77,27.81,26.99,37.9,,,44.34
aya-101,prompt_3,65.02,53.62,71.76,36.99,54.12,51.16,55.22,28.19,37.18,26.11,23.43,22.94,31.95,22.24,24.56,36.9,53.29,49.38,20.96,28.11,22.7,57.71,30,50.74,27.71,14.33,25.41,33.18,36.38,33.58,36.99,27.12,23.2,53.84,19.21,48.33,52.86,44.42,30.66,47.88,49.13,55.41,45.83,60.38,25.96,16.29,44.94,47.59,39.68,42.51,39.26,22.35,24.88,25.64,54.69,39.66,55.51,70.8,47.19,39,32.55,55.47,52.34,50.95,49.11,46.33,50.67,50.34,29.36,51.46,56.06,49.21,59.5,44.55,52.31,40.37,25.3,53.48,45.81,53.17,16.73,19.12,40.6,24.66,61.8,16.27,15.82,15.32,11.22,17.44,16.68,25.83,21.06,27.74,22.59,16.62,14.74,24.15,41.58,19.98,37.09,21.41,24.16,16.24,21.41,21.61,20.2,36.5,,,44.24
gemma-2-27b-it,prompt_1,65.18,53.58,70.87,29.27,42.87,51.31,55.64,21.02,30.58,22.47,20.29,20.68,19.75,17.99,21.11,23.72,46.84,39.31,22.31,23.94,22.25,54.5,27,40.4,22.35,14.96,21.41,26.54,28.99,24.7,30.63,21.15,19.22,37.84,18.05,36.63,42.18,32.33,21.28,39.41,40.25,40.17,33.78,61.44,22.13,18.2,27.17,36.45,31.2,29.92,30.63,19.28,21.8,24.32,43.7,31.28,44.45,66.54,35.51,29.38,20.04,45.19,38.57,38.34,36.58,35.01,35.52,34.99,20.8,39.04,41.24,33.31,55.45,25.93,37.34,26.84,22.14,41.11,29.35,40.2,13.26,18,31.63,24.51,64.72,15.64,28.17,18.35,15.79,23.45,18.62,31.41,34.92,36.8,34.05,25.44,19.36,32.49,49.57,31.85,46.25,35.61,32.1,20.29,43.04,31.03,38.76,32.2,,,36.03
gemma-2-27b-it,prompt_2,65.14,53.55,71.01,30.51,42.71,51.38,55.43,22.01,31.48,23.52,21,21.35,21.81,19.73,21.49,24.71,47.1,40.21,22.94,24.91,22.87,54.78,27.59,41.07,23.09,15.63,22.48,27.23,29.54,26.24,31.5,22.5,20.65,39.41,19.54,36.99,42.54,33.03,23.01,39.82,41.8,41.52,35.12,61.79,23.06,18.38,27.82,37.37,32.27,30.57,31.6,19.13,22.63,25.15,44.84,32.26,45.41,67.06,36.04,30.22,21.87,45.71,39.97,38.77,37.56,35.62,36.6,35.35,21.56,39.58,43,34.28,55.91,26.69,38.24,28.13,23.18,42.03,30.43,41.22,13.37,18.55,33.4,24.96,65.13,15.98,27.38,17.83,14.02,23.36,18.29,33.85,30.78,42.04,33.33,22.64,17.03,37.16,52.95,32.58,50.07,36.19,29.66,19.9,43.16,27.79,38.52,32.9,,,37.08
gemma-2-27b-it,prompt_3,65.25,53.38,71.18,29.95,42.5,51.26,55.54,21.89,31.22,23.36,21.14,21.08,21.76,19.6,21.45,24.77,46.57,40.05,22.98,24.74,22.76,54.71,27.54,40.99,23.16,15.98,22.67,27.22,29.69,26.19,31.65,22.6,20.51,39.48,19.82,36.89,42.3,32.9,23.09,39.7,41.69,41.13,34.79,61.71,23.13,18.13,27.68,37.29,32.25,30.31,31.3,19.36,22.7,25.19,44.64,32.04,45.11,67.01,35.7,30.2,21.87,45.53,39.8,38.67,37.43,35.37,36.5,35.6,21.54,39.38,43.02,34.11,55.58,26.4,38.02,28.23,23.23,41.93,30.45,40.99,13.51,18.68,33.08,24.88,65.15,15.99,28.45,16.12,13.57,20.69,15.7,33.58,33.88,42.23,32.3,20.01,16.54,37.41,52.65,35.68,51.75,36.21,29.66,18.71,44.38,28.73,38.82,32.8,,,36.69
