model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,eng-ach,eng-lgg,eng-lug,eng-nyn,eng-swa,eng-teo,en_amh,en_hau,en_ibo,en_kin,en_lug,en_luo,en_nya,en_pcm,en_sna,en_swa,en_tsn,en_twi,en_xho,en_yor,en_zul,fr_bam,fr_bbj,fr_ewe,fr_fon,fr_mos,fr_wol,avg,,,eng-ibo
LLaMAX3-8B-Alpaca,prompt_2,65.59,37.87,65.28,8.37,21.25,34.98,39.11,8.11,16.87,16.19,5.41,5.91,6.98,7.8,9.99,16.79,44.41,35.26,9.56,23.71,12.56,24.11,20.05,19.86,13.25,4.97,14.13,15.93,20.64,12.69,19.73,18.72,6.56,18.95,5.91,40.61,30.05,13.18,13.36,38.89,39.64,17.87,26.97,53.69,5.78,0.36,7.92,18.21,20.99,25.56,8.86,0.39,16.93,16.41,38.36,20.28,39.06,64.3,14.9,18.4,8.9,46.8,39.3,22.8,30.5,31.4,17.2,42.4,17.2,39.3,43.0,27.9,56.2,7.7,18.7,15.3,18.3,37.9,20.67,39.25,6.02,3.28,20.62,15.2,56.2,9.24,11.6,31.8,30.1,27.8,26.2,19.0,34.9,26.6,31.8,42.1,26.1,19.6,30.9,16.0,31.7,15.0,6.3,17.0,8.5,12.5,17.51,22.7,,,32.66
LLaMAX3-8B-Alpaca,prompt_3,65.45,37.18,65.27,6.82,20.86,32.92,38.73,7.2,17.01,15.36,5.7,5.81,6.67,10.55,9.81,16.55,44.53,35.08,9.62,23.57,12.38,27.62,19.09,19.84,13.44,3.33,12.91,15.49,20.27,12.84,19.93,11.97,5.33,19.2,4.32,40.29,29.24,14.83,11.8,39.06,39.44,17.81,28.77,53.6,4.32,0.33,8.05,17.6,20.28,25.16,8.92,0.38,16.26,16.42,38.31,20.16,39,64.2,14.7,18.7,7.9,47.2,39.4,23.0,30.6,31.8,17.2,42.2,17.0,39.0,43.0,29.4,56.4,7.7,18.6,14.9,18.3,38.2,20.6,39.29,5.19,3.11,20.81,14.99,56.79,8.6,1.5,17.8,15.1,18.3,18.6,16.7,20.6,23.8,19.1,21.5,18.8,15.7,19.1,9.3,19.9,12.3,7.5,14.9,8.9,12.4,13.97,21.1,,,32.83
Llama-3.1-8B-Instruct,prompt_1,66.36,33.7,59.77,13.33,6.89,31.78,36.63,8.3,15.1,12.1,5.05,6.7,11.15,7.38,10.7,3.35,24.02,15.6,9.55,18.28,8.02,23.91,16.72,15.03,14.44,5.43,4.66,14.96,16.07,13.35,11.88,10.9,9.12,12.56,5.97,15.8,16.85,15.097,9.8,15.48,16.91,11.71,13.058,42.88,7.07,1.91,4.29,12.66,12.33,15.96,13.69,0.58,11.55,10.08,13.77,7.15,13.04,60.4,6.2,16.6,15.6,26.3,18.5,17.3,19.9,12.6,14.2,19.8,2.9,16.7,18.6,14.9,43.1,4.1,14.2,14.7,12.4,14.7,8.24,15,4.88,1.3,10.1,7.79,44.96,4.79,3.8,22.4,22.7,24.5,23.5,20.7,24.7,43.9,23.4,39.2,24.0,22.6,21.3,14.9,24.7,13.8,8.2,16.8,9.8,12.9,16.45,16.1,,,15.04
Llama-3.1-8B-Instruct,prompt_2,68.05,33.26,62.93,14.35,8,31.29,36.71,7.26,15.02,9.41,2.87,5.39,7.65,4.43,10.03,11.31,28.59,18.01,9.878,22.49,5.45,21.01,17.56,16.16,11.73,6.98,5.19,12.92,15.64,9.22,12.59,16.56,5.85,13.23,3.62,16.1,21.37,14.53,6,15.27,19.78,12.63,14.47,46.28,7.45,2.54,5.09,13.65,9.8,15.01,14.88,0.45,8.48,8.97,15.1,8.15,15.02,62.6,7.1,17.4,8.8,30.9,21.2,18.1,22.7,13.9,13.6,20.5,11.3,16.2,21.1,16.7,48.5,4.9,15.0,10.9,10.2,15.4,9.36,15.87,4.04,3.14,10.1,7.49,45.1,4.77,2.8,23.1,21.0,23.9,22.0,17.2,21.4,42.3,22.3,34.2,24.0,22.9,22.2,14.3,24.9,14.3,4.6,18.2,7.8,12.8,16.11,16.3,,,14.53
Llama-3.1-8B-Instruct,prompt_3,68.06,31.66,62.94,13.72,7.99,29.06,36.21,6.47,13.46,8.14,1.84,4.77,6.76,3.56,9.78,11.38,28.37,16.89,9.45,21.54,5.41,23.17,16.61,15.33,10.87,3.71,3.17,12.56,13.19,9.16,11.84,15.52,5.76,12.8,2.96,15.05,21.22,14.57,6.23,13.89,19.5,11.97,13.32,46.25,6.72,0.75,5.01,13.16,9.13,14.09,14.44,0.35,8.3,8.64,14.24,8.08,14.64,62.7,7.1,15.6,7.7,30.0,20.0,17.7,22.7,13.3,13.5,20.0,11.4,15.4,20.7,14.6,48.3,4.8,14.4,10.4,9.8,14.6,9.66,15.17,4.4,3.15,10.34,7.43,44.13,4.98,2.8,24.8,19.3,24.5,24.3,20.8,25.0,40.1,25.7,31.8,25.2,22.8,21.7,13.5,23.6,14.5,7.0,18.9,9.7,13.3,16.85,15.9,,,14.05
AfroLlama-V1,prompt_1,9.69,0.14,5.45,4.31,0.15,0.15,0.12,4.48,7.4,5.38,5.26,4.92,3.73,2.89,6.75,4.04,11.06,3.9,4.93,5.7,2.76,5.05,6.73,7.05,6.54,0.3,6.22,6.52,6.72,5.84,7.76,6.27,6.01,6.72,3.54,8.18,5.52,6.29,5.26,6.12,6.6,7.55,6.72,13.4,5.21,0.5,0.14,6.13,6.98,7.17,6.07,0.3,5.72,4.67,12.11,6.06,13.24,5.3,0.4,6.9,3.9,10.3,4.0,6.8,5.2,8.5,6.3,6.6,3.6,6.2,6.0,6.7,12.8,0.2,6.7,5.4,4.6,10.8,5.63,11.04,1.41,1.68,1.76,1.6,5.11,1.69,0.3,14.5,4.9,13.2,9.1,11.1,15.3,10.8,12.9,15.9,10.5,9.6,17.4,9.5,17.3,8.0,2.9,7.7,5.4,6.5,8.67,6.3,,,1.19
AfroLlama-V1,prompt_2,15.66,0.19,6.52,6.05,0.2,0.17,0.16,4.72,10.03,8.13,8.81,5.14,3.8,3.84,8.91,7.45,13.99,4.23,7.07,6.1,4.37,6.39,11.89,13.65,14.27,0.39,9.06,11.55,8.92,16.51,12.43,10.2,5.41,8.58,5.24,9.41,11.58,10.62,4.94,9.66,9.07,9.99,10.08,15.48,6.29,0.51,0.16,7.81,7.68,8.53,8.05,0.72,10.87,5.79,13.81,6.44,17.04,6.2,0.5,8.8,4.0,12.4,4.5,10.9,6.4,13.0,8.1,9.3,5.9,11.9,7.8,9.2,14.5,0.2,7.9,7.6,5.4,12.1,6.23,13.34,1.63,1.82,2.09,3.84,5.38,2.36,0.3,12.5,4.4,11.5,7.5,9.7,13.6,10.3,10.9,13.2,8.8,9.2,14.8,8.2,15.0,6.8,2.7,6.4,4.7,5.6,7.08,7.7,,,1.18
AfroLlama-V1,prompt_3,21.1,0.17,8.96,5.42,0.24,0.12,0.14,5.33,10.75,6.63,8.92,5.26,3.8,3.4,9.05,8.56,13.87,4.2,9.04,6.01,4.56,7.45,13.83,17.3,12.24,0.49,15.46,10.44,10.69,15.27,17.07,13.03,4.75,8.69,6.04,10.25,14.41,14.4,6.54,11.97,9.19,9.64,14.46,17.91,6.6,0.58,0.23,7.57,6.82,11.85,10.91,0.55,10,4.78,13.63,7.39,17.07,7.6,0.6,9.3,4.0,12.6,4.3,14.6,8.5,11.1,8.0,12.8,7.0,18.6,7.5,12.4,16.1,0.3,8.9,7.3,4.8,12.3,6.5,14.25,1.9,1.89,2.2,3.42,5.5,2.39,0.3,12.5,5.4,12.6,8.6,11.1,13.7,12.7,12.7,12.1,10.4,9.8,14.2,6.9,13.0,7.7,2.9,8.0,5.0,6.2,8.43,8.4,,,1.14
gemma-2-9b-it,prompt_1,64.48,51.95,70.13,29.04,42.63,49.13,53.92,20.05,29.23,22.11,19.53,19.62,20.00,18.32,20.69,23.72,45.34,36.09,21.31,23.62,21.88,51.24,25.72,38.24,22.42,14.16,20.51,25.96,27.07,24.18,29.66,20.61,18.57,34.86,17.62,34.62,38.52,30.91,20.80,37.05,38.68,37.17,32.36,59.15,21.25,16.55,26.93,33.95,28.51,29.03,30.88,18.02,21.35,22.86,42.77,30.22,42.39,58.4,9.4,16.1,12.7,38.8,26.1,17.4,27.8,20.9,22.1,20.8,12.2,19.9,29.2,1.8,52.7,6.0,22.2,8.2,12.8,25.6,8.82,26.26,14.89,6.74,15.15,15.73,55.17,7.09,2.3,15.2,9.4,16.9,13.0,14.3,19.3,19.7,17.2,19.9,14.8,13.9,14.4,7.6,15.6,9.2,3.9,9.8,5.9,7.8,10.14,24.3,,,22.44
gemma-2-9b-it,prompt_2,64.61,52.00,70.42,29.49,42.34,49.37,53.84,21.08,29.73,22.56,20.63,20.56,20.80,19.26,21.74,24.41,45.58,37.36,22.07,23.97,22.62,51.34,26.26,38.52,22.85,14.56,21.89,26.68,27.27,25.25,30.10,22.31,19.54,35.67,18.63,34.80,38.50,31.26,22.39,37.43,39.68,38.33,32.36,59.29,22.14,16.58,27.30,34.10,29.08,29.37,31.42,19.02,21.60,23.90,43.43,30.57,43.60,58.5,10.0,17.5,3.5,38.9,26.5,17.4,28.3,22.0,22.4,21.2,11.6,23.5,29.8,0.6,52.7,5.6,22.4,6.5,10.6,26.4,8.81,26.73,16.26,6.15,16.03,15.84,55.16,7.20,3.7,16.3,10.1,18.2,13.5,15.0,20.2,21.9,18.3,21.9,15.9,14.0,15.4,8.9,15.7,10.4,3.8,10.5,6.1,8.4,11.35,24.8,,,22.75
gemma-2-9b-it,prompt_3,64.75,52.10,70.51,29.32,42.44,49.17,53.90,20.61,29.64,22.28,20.41,20.11,20.17,18.67,21.60,24.22,45.57,37.39,22.08,23.93,21.84,50.90,26.32,38.53,22.55,15.00,21.85,26.44,27.38,24.87,30.20,22.20,19.12,35.75,18.59,34.81,38.24,30.88,21.97,37.48,39.53,38.15,32.04,59.31,21.72,17.09,27.07,33.95,28.99,29.20,31.37,19.00,21.40,23.57,43.39,30.44,43.04,58.5,10.0,17.3,3.6,38.9,26.5,17.5,27.9,22.3,22.1,21.2,12.1,23.8,29.7,0.9,52.9,5.3,22.5,6.2,11.1,25.8,8.78,26.61,16.35,7.38,16.03,16.11,55.13,7.53,1.4,14.6,8.9,16.4,12.3,14.0,18.3,20.2,17.1,18.3,14.8,12.0,14.4,7.2,15.3,9.5,3.8,9.9,5.8,7.9,10.65,24.4,,,22.39
aya-101,prompt_1,62.1,37.9,61.79,16.4,28.08,34.53,37.41,16.97,23.37,20.98,18.12,16.97,13.84,12.19,9.68,10.44,45.51,35.08,8.74,21.7,7.98,15.19,20.01,30.83,20.21,9.09,14.49,21.54,21.82,11.9,13.54,7.05,14.93,32.11,10.84,42.35,49.13,17.83,17.3,39.75,39.85,46.27,27.92,55.2,12.43,0.69,10.63,32.19,14.81,26.61,20.34,0.56,19.08,8.49,42.02,19.73,41.99,62.2,19.8,23.6,15.8,46.8,38.8,33.4,45.3,32.3,43.6,43.3,11.0,39.4,42.8,29.5,57.9,10.8,22.6,20.3,9.2,41.2,16.78,42.12,15.01,11.35,12.36,12.95,56.71,7.69,2.0,20.8,15.7,10.8,12.5,9.3,8.6,41.4,8.8,30.7,12.8,10.0,7.7,8.4,9.6,4.3,3.1,5.9,2.5,3.8,6.36,22.7,,,32.74
aya-101,prompt_2,64.2,38.74,64.1,11.9,29.11,35.65,38.41,15.68,23.61,21.36,9.61,16.78,10.98,10.06,9.41,11.8,44.92,35.75,10.62,22.6,7.22,13.7,20.15,30.9,20.53,8.48,10.31,21.79,21.8,13.25,13.24,3.49,10.69,32.04,9.82,42.17,51.12,11.77,14.52,40.15,40.61,46.94,27.44,56.64,15.11,0.64,10.74,32.65,12.78,26.66,21.07,0.38,19.39,7.48,43.1,19.78,43.18,64.1,20.5,26.1,12.6,47.8,39.3,34.1,46.0,32.7,44.1,44.1,14.6,40.9,44.1,30.3,59.0,11.0,25.0,23.2,7.9,41.6,16.5,43.02,14.93,12.7,13.19,12.44,57.77,6.36,3.8,23.7,20.2,12.9,18.1,14.1,12.2,47.0,12.7,41.2,15.3,10.6,10.0,10.4,14.0,5.7,6.5,9.7,7.8,9.5,8.1,23.4,,,32.78
aya-101,prompt_3,63.99,38.39,63.92,17.5,29.38,35.22,38.45,11.93,23.86,20.81,17.69,14.07,10.99,11.99,10.85,10.04,45.41,35.64,10.28,22.03,9.09,14.43,18.33,30.42,17,9.05,18.29,21.19,21.71,14.7,12.92,5.32,14.76,31.82,10.63,42.27,50.54,11.51,14.51,39.97,40.57,46.29,24.66,56.59,13.99,1.39,10.37,33.16,9.59,25.83,20.29,0.64,17.71,7.82,42.53,19.38,42.77,64.4,20.7,26.0,13.6,47.7,39.2,33.9,45.9,33.3,43.8,44.0,10.7,40.9,44.1,27.8,58.9,10.7,32.0,11.9,8.3,41.2,16.68,42.79,15.37,13.3,13.4,11.81,57.83,7.16,2.4,21.0,15.7,10.6,12.1,8.1,9.3,34.8,10.2,30.6,12.4,10.3,7.7,9.5,9.6,4.2,5.3,5.2,4.4,3.9,6.06,22.6,,,33.65
gemma-2-27b-it,prompt_1,65.18,53.58,70.87,29.27,42.87,51.31,55.64,21.02,30.58,22.47,20.29,20.68,19.75,17.99,21.11,23.72,46.84,39.31,22.31,23.94,22.25,54.50,27.00,40.40,22.35,14.96,21.41,26.54,28.99,24.70,30.63,21.15,19.22,37.84,18.05,36.63,42.18,32.33,21.28,39.41,40.25,40.17,33.78,61.44,22.13,18.20,27.17,36.45,31.20,29.92,30.63,19.28,21.80,24.32,43.70,31.28,44.45,60.9,13.5,20.0,13.4,41.5,31.9,28.5,34.8,28.8,27.2,30.5,16.7,28.2,34.3,0.8,55.5,8.2,32.0,14.6,15.5,32.8,13.35,33.63,15.75,10.55,23.21,19.92,60.52,12.48,5.4,24.3,18.6,14.5,14.8,14.4,16.4,35.5,20.2,33.5,19.7,15.7,19.1,10.1,20.8,6.1,3.8,3.7,2.3,4.3,8.83,26.8,,,27.93
gemma-2-27b-it,prompt_2,65.14,53.55,71.01,30.51,42.71,51.38,55.43,22.01,31.48,23.52,21.00,21.35,21.81,19.73,21.49,24.71,47.10,40.21,22.94,24.91,22.87,54.78,27.59,41.07,23.09,15.63,22.48,27.23,29.54,26.24,31.50,22.50,20.65,39.41,19.54,36.99,42.54,33.03,23.01,39.82,41.80,41.52,35.12,61.79,23.06,18.38,27.82,37.37,32.27,30.57,31.60,19.13,22.63,25.15,44.84,32.26,45.41,60.6,13.8,24.0,11.2,41.4,32.3,28.9,35.2,28.9,26.5,29.8,17.9,31.3,34.7,27.7,55.2,8.2,33.0,15.2,15.9,33.0,13.65,33.72,16.31,11.51,23.87,20.03,60.11,12.58,5.0,25.2,17.2,15.7,14.9,16.1,17.8,40.6,19.3,40.9,21.1,17.9,20.1,9.7,19.7,7.5,5.7,7.7,7.8,8.1,10.58,27.9,,,27.98
gemma-2-27b-it,prompt_3,65.25,53.38,71.18,29.95,42.50,51.26,55.54,21.89,31.22,23.36,21.14,21.08,21.76,19.60,21.45,24.77,46.57,40.05,22.98,24.74,22.76,54.71,27.54,40.99,23.16,15.98,22.67,27.22,29.69,26.19,31.65,22.60,20.51,39.48,19.82,36.89,42.30,32.90,23.09,39.70,41.69,41.13,34.79,61.71,23.13,18.13,27.68,37.29,32.25,30.31,31.30,19.36,22.70,25.19,44.64,32.04,45.11,60.7,14.0,24.2,10.9,41.4,32.0,28.9,35.2,29.2,26.9,29.8,18.1,31.3,34.7,28.1,55.2,8.2,32.9,15.1,15.5,32.8,13.55,33.75,16.10,11.86,23.92,19.84,60.50,12.44,6.1,26.4,20.3,15.1,15.6,15.5,17.7,36.7,22.3,37.2,21.0,16.2,20.7,11.2,20.5,5.8,4.7,3.6,4.2,4.6,9.22,27.8,,,27.80
